LSU_rRNA_eukarya 1-3401 (+1)	=> 8855-11955 (-1)
SSU_rRNA_microsporidia 717-736 (+1)	=> 362425-362444 (-1)
SSU_rRNA_microsporidia 739-743 (+1)	=> 362420-362424 (-1)
SSU_rRNA_microsporidia 744-800 (+1)	=> 362359-362415 (-1)
SSU_rRNA_microsporidia 801-860 (+1)	=> 362298-362357 (-1)
SSU_rRNA_microsporidia 863-863 (+1)	=> 362292-362292 (-1)
SSU_rRNA_microsporidia 885-930 (+1)	=> 362206-362251 (-1)
SSU_rRNA_microsporidia 932-968 (+1)	=> 362169-362205 (-1)
SSU_rRNA_microsporidia 971-982 (+1)	=> 361767-361778 (-1)
SSU_rRNA_microsporidia 984-1020 (+1)	=> 361730-361766 (-1)
SSU_rRNA_microsporidia 1021-1029 (+1)	=> 361720-361728 (-1)
SSU_rRNA_microsporidia 1030-1080 (+1)	=> 361668-361718 (-1)
SSU_rRNA_microsporidia 1103-1112 (+1)	=> 361658-361667 (-1)
SSU_rRNA_microsporidia 1115-1136 (+1)	=> 361636-361657 (-1)
SSU_rRNA_microsporidia 1139-1255 (+1)	=> 361519-361635 (-1)
SSU_rRNA_microsporidia 1326-1332 (+1)	=> 361509-361515 (-1)
SSU_rRNA_microsporidia 1333-1400 (+1)	=> 361440-361507 (-1)

LSU_rRNA_bacteria 573-1302 (+1)	=> 364726-365266 (+1)
Percent identity: 
Cigar string: 11M3I91MD19MI192MI85M20D46M3D11M23I174D18I15M10I49D14M
ungapped:
LSU_rRNA_bacteria 573-583 (+1)	=> 364726-364736 (+1)
LSU_rRNA_bacteria 584-674 (+1)	=> 364740-364830 (+1)
LSU_rRNA_bacteria 676-694 (+1)	=> 364831-364849 (+1)
LSU_rRNA_bacteria 695-886 (+1)	=> 364851-365042 (+1)
LSU_rRNA_bacteria 887-971 (+1)	=> 365044-365128 (+1)
LSU_rRNA_bacteria 992-1037 (+1)	=> 365129-365174 (+1)
LSU_rRNA_bacteria 1041-1051 (+1)	=> 365175-365185 (+1)
LSU_rRNA_bacteria 1226-1240 (+1)	=> 365227-365241 (+1)
LSU_rRNA_bacteria 1290-1303 (+1)	=> 365252-365265 (+1)

LSU_rRNA_archaea 664-1388 (+1)	=> 364772-365248 (+1)
Percent identity: 
Cigar string: 39M2I17MD5M12I44D83MI8MI101MI4MI28M2I18MD31M2D13M2I4M45I25D20I16D4I204D10M22I54D10M
ungapped:
LSU_rRNA_archaea 664-702 (+1)	=> 364772-364810 (+1)
LSU_rRNA_archaea 703-719 (+1)	=> 364813-364829 (+1)
LSU_rRNA_archaea 721-725 (+1)	=> 364830-364834 (+1)
LSU_rRNA_archaea 770-852 (+1)	=> 364847-364929 (+1)
LSU_rRNA_archaea 853-860 (+1)	=> 364931-364938 (+1)
LSU_rRNA_archaea 861-961 (+1)	=> 364940-365040 (+1)
LSU_rRNA_archaea 962-965 (+1)	=> 365042-365045 (+1)
LSU_rRNA_archaea 966-993 (+1)	=> 365047-365074 (+1)
LSU_rRNA_archaea 994-1011 (+1)	=> 365077-365094 (+1)
LSU_rRNA_archaea 1013-1043 (+1)	=> 365095-365125 (+1)
LSU_rRNA_archaea 1046-1058 (+1)	=> 365126-365138 (+1)
LSU_rRNA_archaea 1059-1062 (+1)	=> 365141-365144 (+1)
LSU_rRNA_archaea 1308-1317 (+1)	=> 365214-365223 (+1)
LSU_rRNA_archaea 1372-1381 (+1)	=> 365246-365255 (+1)

Intron_gpII 1-93 (+1)	=> 1752-1844 (-1)
Percent identity: 
Cigar string: 93M
ungapped:
Intron_gpII 1-93 (+1)	=> 1752-1844 (-1)

Intron_gpII 1-93 (+1)	=> 9296-9383 (+1)
Percent identity: 
Cigar string: 38M2D12M8I33MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 9296-9333 (+1)
Intron_gpII 41-52 (+1)	=> 9334-9345 (+1)
Intron_gpII 53-85 (+1)	=> 9354-9386 (+1)
Intron_gpII 87-88 (+1)	=> 9387-9388 (+1)

Intron_gpII 1-93 (+1)	=> 11939-12029 (-1)
Percent identity: 
Cigar string: 52M3I36MD2M
ungapped:
Intron_gpII 1-52 (+1)	=> 11978-12029 (-1)
Intron_gpII 53-88 (+1)	=> 11939-11974 (-1)
Intron_gpII 90-91 (+1)	=> 11937-11938 (-1)

Intron_gpII 1-93 (+1)	=> 21862-21933 (-1)
Percent identity: 
Cigar string: 51M10I32D8MD2M
ungapped:
Intron_gpII 1-51 (+1)	=> 21883-21933 (-1)
Intron_gpII 84-91 (+1)	=> 21865-21872 (-1)
Intron_gpII 93-94 (+1)	=> 21863-21864 (-1)

IsrR 1-187 (+1)	=> 34170-34356 (-1)
Percent identity: 
Cigar string: 187M
ungapped:
IsrR 1-187 (+1)	=> 34170-34356 (-1)

Intron_gpII 1-93 (+1)	=> 42737-42805 (-1)
Percent identity: 
Cigar string: 15MDI2D30M27I18MD2M
ungapped:
Intron_gpII 1-15 (+1)	=> 42791-42805 (-1)
Intron_gpII 19-48 (+1)	=> 42760-42789 (-1)
Intron_gpII 49-66 (+1)	=> 42715-42732 (-1)
Intron_gpII 68-69 (+1)	=> 42713-42714 (-1)

Intron_gpII 1-93 (+1)	=> 43754-43828 (-1)
Percent identity: 
Cigar string: 38M2D7M21I25MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 43791-43828 (-1)
Intron_gpII 41-47 (+1)	=> 43784-43790 (-1)
Intron_gpII 48-72 (+1)	=> 43738-43762 (-1)
Intron_gpII 74-75 (+1)	=> 43736-43737 (-1)

Intron_gpI 1-251 (+1)	=> 46919-47415 (+1)
Percent identity: 
Cigar string: 13MI10MI7M2D13MDID33MD41M18D87M226D44M
ungapped:
Intron_gpI 1-13 (+1)	=> 46919-46931 (+1)
Intron_gpI 14-23 (+1)	=> 46933-46942 (+1)
Intron_gpI 24-30 (+1)	=> 46944-46950 (+1)
Intron_gpI 33-45 (+1)	=> 46951-46963 (+1)
Intron_gpI 48-80 (+1)	=> 46965-46997 (+1)
Intron_gpI 82-122 (+1)	=> 46998-47038 (+1)
Intron_gpI 141-227 (+1)	=> 47039-47125 (+1)
Intron_gpI 454-497 (+1)	=> 47126-47169 (+1)

Intron_gpII 1-93 (+1)	=> 75579-75650 (+1)
Percent identity: 
Cigar string: 38MD7M23I23MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 75579-75616 (+1)
Intron_gpII 40-46 (+1)	=> 75617-75623 (+1)
Intron_gpII 47-69 (+1)	=> 75647-75669 (+1)
Intron_gpII 71-72 (+1)	=> 75670-75671 (+1)

Intron_gpII 1-93 (+1)	=> 77123-77197 (+1)
Percent identity: 
Cigar string: 38M4D7M23I23MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 77123-77160 (+1)
Intron_gpII 43-49 (+1)	=> 77161-77167 (+1)
Intron_gpII 50-72 (+1)	=> 77191-77213 (+1)
Intron_gpII 74-75 (+1)	=> 77214-77215 (+1)

Intron_gpII 1-93 (+1)	=> 81588-81667 (-1)
Percent identity: 
Cigar string: 38M2D7M16I30MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 81630-81667 (-1)
Intron_gpII 41-47 (+1)	=> 81623-81629 (-1)
Intron_gpII 48-77 (+1)	=> 81577-81606 (-1)
Intron_gpII 79-80 (+1)	=> 81575-81576 (-1)

Intron_gpII 1-93 (+1)	=> 84770-84848 (-1)
Percent identity: 
Cigar string: 47M15I29MD2M
ungapped:
Intron_gpII 1-47 (+1)	=> 84802-84848 (-1)
Intron_gpII 48-76 (+1)	=> 84758-84786 (-1)
Intron_gpII 78-79 (+1)	=> 84756-84757 (-1)

Intron_gpII 1-93 (+1)	=> 95703-95781 (-1)
Percent identity: 
Cigar string: 38M2D7M17I29MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 95744-95781 (-1)
Intron_gpII 41-47 (+1)	=> 95737-95743 (-1)
Intron_gpII 48-76 (+1)	=> 95691-95719 (-1)
Intron_gpII 78-79 (+1)	=> 95689-95690 (-1)

Intron_gpII 1-93 (+1)	=> 98025-98098 (-1)
Percent identity: 
Cigar string: 45M19I29M
ungapped:
Intron_gpII 1-45 (+1)	=> 98054-98098 (-1)
Intron_gpII 46-74 (+1)	=> 98006-98034 (-1)

Intron_gpII 1-93 (+1)	=> 98794-98870 (-1)
Percent identity: 
Cigar string: 38MD7M18I28MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 98833-98870 (-1)
Intron_gpII 40-46 (+1)	=> 98826-98832 (-1)
Intron_gpII 47-74 (+1)	=> 98780-98807 (-1)
Intron_gpII 76-77 (+1)	=> 98778-98779 (-1)

SSU_rRNA_bacteria 1-1533 (+1)	=> 101013-102502 (+1)
Percent identity: 
Cigar string: 71M3I4M3I6M3I2MI29MI53M8I10M7I7MI243M11IM5I366MD288MI6MI222MD180M
ungapped:
SSU_rRNA_bacteria 1-71 (+1)	=> 101013-101083 (+1)
SSU_rRNA_bacteria 72-75 (+1)	=> 101087-101090 (+1)
SSU_rRNA_bacteria 76-81 (+1)	=> 101094-101099 (+1)
SSU_rRNA_bacteria 82-83 (+1)	=> 101103-101104 (+1)
SSU_rRNA_bacteria 84-112 (+1)	=> 101106-101134 (+1)
SSU_rRNA_bacteria 113-165 (+1)	=> 101136-101188 (+1)
SSU_rRNA_bacteria 166-175 (+1)	=> 101197-101206 (+1)
SSU_rRNA_bacteria 176-182 (+1)	=> 101214-101220 (+1)
SSU_rRNA_bacteria 183-425 (+1)	=> 101222-101464 (+1)
SSU_rRNA_bacteria 426-426 (+1)	=> 101476-101476 (+1)
SSU_rRNA_bacteria 427-792 (+1)	=> 101482-101847 (+1)
SSU_rRNA_bacteria 794-1081 (+1)	=> 101848-102135 (+1)
SSU_rRNA_bacteria 1082-1087 (+1)	=> 102137-102142 (+1)
SSU_rRNA_bacteria 1088-1309 (+1)	=> 102144-102365 (+1)
SSU_rRNA_bacteria 1311-1490 (+1)	=> 102366-102545 (+1)

SSU_rRNA_eukarya 1-1851 (+1)	=> 101018-102497 (+1)
Percent identity: 
Cigar string: 42MI18M3I8MI12MI22MI18M10I20MI33M12I4D9I88D15MI15M2I38MI94MD37M4D34M2I22MI100M116I29M2I5M15I4M9I11M38I188M6I6M3I12MI12M2D5M4I57MI61M49I44D77MI11M13I51D3I56MI11MI44M6I28MI76MD59MI26M9I8MI2M13I82M
ungapped:
SSU_rRNA_eukarya 1-42 (+1)	=> 101018-101059 (+1)
SSU_rRNA_eukarya 43-60 (+1)	=> 101061-101078 (+1)
SSU_rRNA_eukarya 61-68 (+1)	=> 101082-101089 (+1)
SSU_rRNA_eukarya 69-80 (+1)	=> 101091-101102 (+1)
SSU_rRNA_eukarya 81-102 (+1)	=> 101104-101125 (+1)
SSU_rRNA_eukarya 103-120 (+1)	=> 101127-101144 (+1)
SSU_rRNA_eukarya 121-140 (+1)	=> 101155-101174 (+1)
SSU_rRNA_eukarya 141-173 (+1)	=> 101176-101208 (+1)
SSU_rRNA_eukarya 266-280 (+1)	=> 101230-101244 (+1)
SSU_rRNA_eukarya 281-295 (+1)	=> 101246-101260 (+1)
SSU_rRNA_eukarya 296-333 (+1)	=> 101263-101300 (+1)
SSU_rRNA_eukarya 334-427 (+1)	=> 101302-101395 (+1)
SSU_rRNA_eukarya 429-465 (+1)	=> 101396-101432 (+1)
SSU_rRNA_eukarya 470-503 (+1)	=> 101433-101466 (+1)
SSU_rRNA_eukarya 504-525 (+1)	=> 101469-101490 (+1)
SSU_rRNA_eukarya 526-625 (+1)	=> 101492-101591 (+1)
SSU_rRNA_eukarya 626-654 (+1)	=> 101708-101736 (+1)
SSU_rRNA_eukarya 655-659 (+1)	=> 101739-101743 (+1)
SSU_rRNA_eukarya 660-663 (+1)	=> 101759-101762 (+1)
SSU_rRNA_eukarya 664-674 (+1)	=> 101772-101782 (+1)
SSU_rRNA_eukarya 675-862 (+1)	=> 101821-102008 (+1)
SSU_rRNA_eukarya 863-868 (+1)	=> 102015-102020 (+1)
SSU_rRNA_eukarya 869-880 (+1)	=> 102024-102035 (+1)
SSU_rRNA_eukarya 881-892 (+1)	=> 102037-102048 (+1)
SSU_rRNA_eukarya 895-899 (+1)	=> 102049-102053 (+1)
SSU_rRNA_eukarya 900-956 (+1)	=> 102058-102114 (+1)
SSU_rRNA_eukarya 957-1017 (+1)	=> 102116-102176 (+1)
SSU_rRNA_eukarya 1062-1138 (+1)	=> 102226-102302 (+1)
SSU_rRNA_eukarya 1139-1149 (+1)	=> 102304-102314 (+1)
SSU_rRNA_eukarya 1201-1256 (+1)	=> 102331-102386 (+1)
SSU_rRNA_eukarya 1257-1267 (+1)	=> 102388-102398 (+1)
SSU_rRNA_eukarya 1268-1311 (+1)	=> 102400-102443 (+1)
SSU_rRNA_eukarya 1312-1339 (+1)	=> 102450-102477 (+1)
SSU_rRNA_eukarya 1340-1415 (+1)	=> 102479-102554 (+1)
SSU_rRNA_eukarya 1417-1475 (+1)	=> 102555-102613 (+1)
SSU_rRNA_eukarya 1476-1501 (+1)	=> 102615-102640 (+1)
SSU_rRNA_eukarya 1502-1509 (+1)	=> 102650-102657 (+1)
SSU_rRNA_eukarya 1510-1511 (+1)	=> 102659-102660 (+1)
SSU_rRNA_eukarya 1512-1593 (+1)	=> 102674-102755 (+1)

SSU_rRNA_microsporidia 1-1312 (+1)	=> 101018-102497 (+1)
Percent identity: 
Cigar string: 26MD15MI15MD9M3D37MI48M30D67MI92MD33M3DI4M48I15D13MI137M2D194M8D2M2I2D20M3D5M4I57MI71M32I13D48MD37M31I2D12MD35MI11MI42M36I13D6M2D22M2D38MD82M19D76M
ungapped:
SSU_rRNA_microsporidia 1-26 (+1)	=> 101018-101043 (+1)
SSU_rRNA_microsporidia 28-42 (+1)	=> 101044-101058 (+1)
SSU_rRNA_microsporidia 43-57 (+1)	=> 101060-101074 (+1)
SSU_rRNA_microsporidia 59-67 (+1)	=> 101075-101083 (+1)
SSU_rRNA_microsporidia 71-107 (+1)	=> 101084-101120 (+1)
SSU_rRNA_microsporidia 108-155 (+1)	=> 101122-101169 (+1)
SSU_rRNA_microsporidia 186-252 (+1)	=> 101170-101236 (+1)
SSU_rRNA_microsporidia 253-344 (+1)	=> 101238-101329 (+1)
SSU_rRNA_microsporidia 346-378 (+1)	=> 101330-101362 (+1)
SSU_rRNA_microsporidia 382-385 (+1)	=> 101364-101367 (+1)
SSU_rRNA_microsporidia 401-413 (+1)	=> 101416-101428 (+1)
SSU_rRNA_microsporidia 414-550 (+1)	=> 101430-101566 (+1)
SSU_rRNA_microsporidia 553-746 (+1)	=> 101567-101760 (+1)
SSU_rRNA_microsporidia 755-756 (+1)	=> 101761-101762 (+1)
SSU_rRNA_microsporidia 759-778 (+1)	=> 101765-101784 (+1)
SSU_rRNA_microsporidia 782-786 (+1)	=> 101785-101789 (+1)
SSU_rRNA_microsporidia 787-843 (+1)	=> 101794-101850 (+1)
SSU_rRNA_microsporidia 844-914 (+1)	=> 101852-101922 (+1)
SSU_rRNA_microsporidia 928-975 (+1)	=> 101955-102002 (+1)
SSU_rRNA_microsporidia 977-1013 (+1)	=> 102003-102039 (+1)
SSU_rRNA_microsporidia 1016-1027 (+1)	=> 102071-102082 (+1)
SSU_rRNA_microsporidia 1029-1063 (+1)	=> 102083-102117 (+1)
SSU_rRNA_microsporidia 1064-1074 (+1)	=> 102119-102129 (+1)
SSU_rRNA_microsporidia 1075-1116 (+1)	=> 102131-102172 (+1)
SSU_rRNA_microsporidia 1130-1135 (+1)	=> 102209-102214 (+1)
SSU_rRNA_microsporidia 1138-1159 (+1)	=> 102215-102236 (+1)
SSU_rRNA_microsporidia 1162-1199 (+1)	=> 102237-102274 (+1)
SSU_rRNA_microsporidia 1201-1282 (+1)	=> 102275-102356 (+1)
SSU_rRNA_microsporidia 1302-1377 (+1)	=> 102357-102432 (+1)

SSU_rRNA_archaea 1-1477 (+1)	=> 101018-102500 (+1)
Percent identity: 
Cigar string: 25MD14MI2MI27M3D34MI54M9I10M8I204M23I13D14M18I9D17MI125MI212M2I4MI90MI59M50I43D89M6I4M2I224MD81M15I6D83M
ungapped:
SSU_rRNA_archaea 1-25 (+1)	=> 101018-101042 (+1)
SSU_rRNA_archaea 27-40 (+1)	=> 101043-101056 (+1)
SSU_rRNA_archaea 41-42 (+1)	=> 101058-101059 (+1)
SSU_rRNA_archaea 43-69 (+1)	=> 101061-101087 (+1)
SSU_rRNA_archaea 73-106 (+1)	=> 101088-101121 (+1)
SSU_rRNA_archaea 107-160 (+1)	=> 101123-101176 (+1)
SSU_rRNA_archaea 161-170 (+1)	=> 101186-101195 (+1)
SSU_rRNA_archaea 171-374 (+1)	=> 101204-101407 (+1)
SSU_rRNA_archaea 388-401 (+1)	=> 101431-101444 (+1)
SSU_rRNA_archaea 411-427 (+1)	=> 101463-101479 (+1)
SSU_rRNA_archaea 428-552 (+1)	=> 101481-101605 (+1)
SSU_rRNA_archaea 553-764 (+1)	=> 101607-101818 (+1)
SSU_rRNA_archaea 765-768 (+1)	=> 101821-101824 (+1)
SSU_rRNA_archaea 769-858 (+1)	=> 101826-101915 (+1)
SSU_rRNA_archaea 859-917 (+1)	=> 101917-101975 (+1)
SSU_rRNA_archaea 961-1049 (+1)	=> 102026-102114 (+1)
SSU_rRNA_archaea 1050-1053 (+1)	=> 102121-102124 (+1)
SSU_rRNA_archaea 1054-1277 (+1)	=> 102127-102350 (+1)
SSU_rRNA_archaea 1279-1359 (+1)	=> 102351-102431 (+1)
SSU_rRNA_archaea 1366-1448 (+1)	=> 102447-102529 (+1)

Intron_gpII 1-93 (+1)	=> 103448-103566 (+1)
Percent identity: 
Cigar string: 16MD37M25D40M
ungapped:
Intron_gpII 1-16 (+1)	=> 103448-103463 (+1)
Intron_gpII 18-54 (+1)	=> 103464-103500 (+1)
Intron_gpII 80-119 (+1)	=> 103501-103540 (+1)

Intron_gpII 1-93 (+1)	=> 104392-104503 (+1)
Percent identity: 
Cigar string: 53M21D2I38M
ungapped:
Intron_gpII 1-53 (+1)	=> 104392-104444 (+1)
Intron_gpII 75-112 (+1)	=> 104447-104484 (+1)

LSU_rRNA_archaea 1-2990 (+1)	=> 104687-107704 (+1)
Percent identity: 
Cigar string: 9M2D29MD105M4D111M10I12M12I25MI17MI4MI54MI27M3D24MI29MD58MD41M7I62D68M2I21M13I45D83MI8MI95MD9M3I28M2I18MD31M16D15MD12MD40MD31M5I115MI24M3I12M5I20MD66MI77MD19MI3MI8MI34MD9M16I22MI5M2D26M50I33D23M2D37M2D12M2D36MI22MI4MI62M4I5M2I112M33I14D318MD5M13D38MI104M3I55MI10M3D216MI57M2D7MD23MD54M98D28M8D25M8I36M2D9M
ungapped:
LSU_rRNA_archaea 1-9 (+1)	=> 104687-104695 (+1)
LSU_rRNA_archaea 12-40 (+1)	=> 104696-104724 (+1)
LSU_rRNA_archaea 42-146 (+1)	=> 104725-104829 (+1)
LSU_rRNA_archaea 151-261 (+1)	=> 104830-104940 (+1)
LSU_rRNA_archaea 262-273 (+1)	=> 104951-104962 (+1)
LSU_rRNA_archaea 274-298 (+1)	=> 104975-104999 (+1)
LSU_rRNA_archaea 299-315 (+1)	=> 105001-105017 (+1)
LSU_rRNA_archaea 316-319 (+1)	=> 105019-105022 (+1)
LSU_rRNA_archaea 320-373 (+1)	=> 105024-105077 (+1)
LSU_rRNA_archaea 374-400 (+1)	=> 105079-105105 (+1)
LSU_rRNA_archaea 404-427 (+1)	=> 105106-105129 (+1)
LSU_rRNA_archaea 428-456 (+1)	=> 105131-105159 (+1)
LSU_rRNA_archaea 458-515 (+1)	=> 105160-105217 (+1)
LSU_rRNA_archaea 517-557 (+1)	=> 105218-105258 (+1)
LSU_rRNA_archaea 620-687 (+1)	=> 105266-105333 (+1)
LSU_rRNA_archaea 688-708 (+1)	=> 105336-105356 (+1)
LSU_rRNA_archaea 754-836 (+1)	=> 105370-105452 (+1)
LSU_rRNA_archaea 837-844 (+1)	=> 105454-105461 (+1)
LSU_rRNA_archaea 845-939 (+1)	=> 105463-105557 (+1)
LSU_rRNA_archaea 941-949 (+1)	=> 105558-105566 (+1)
LSU_rRNA_archaea 950-977 (+1)	=> 105570-105597 (+1)
LSU_rRNA_archaea 978-995 (+1)	=> 105600-105617 (+1)
LSU_rRNA_archaea 997-1027 (+1)	=> 105618-105648 (+1)
LSU_rRNA_archaea 1044-1058 (+1)	=> 105649-105663 (+1)
LSU_rRNA_archaea 1060-1071 (+1)	=> 105664-105675 (+1)
LSU_rRNA_archaea 1073-1112 (+1)	=> 105676-105715 (+1)
LSU_rRNA_archaea 1114-1144 (+1)	=> 105716-105746 (+1)
LSU_rRNA_archaea 1145-1259 (+1)	=> 105752-105866 (+1)
LSU_rRNA_archaea 1260-1283 (+1)	=> 105868-105891 (+1)
LSU_rRNA_archaea 1284-1295 (+1)	=> 105895-105906 (+1)
LSU_rRNA_archaea 1296-1315 (+1)	=> 105912-105931 (+1)
LSU_rRNA_archaea 1317-1382 (+1)	=> 105932-105997 (+1)
LSU_rRNA_archaea 1383-1459 (+1)	=> 105999-106075 (+1)
LSU_rRNA_archaea 1461-1479 (+1)	=> 106076-106094 (+1)
LSU_rRNA_archaea 1480-1482 (+1)	=> 106096-106098 (+1)
LSU_rRNA_archaea 1483-1490 (+1)	=> 106100-106107 (+1)
LSU_rRNA_archaea 1491-1524 (+1)	=> 106109-106142 (+1)
LSU_rRNA_archaea 1526-1534 (+1)	=> 106143-106151 (+1)
LSU_rRNA_archaea 1535-1556 (+1)	=> 106168-106189 (+1)
LSU_rRNA_archaea 1557-1561 (+1)	=> 106191-106195 (+1)
LSU_rRNA_archaea 1564-1589 (+1)	=> 106196-106221 (+1)
LSU_rRNA_archaea 1623-1645 (+1)	=> 106272-106294 (+1)
LSU_rRNA_archaea 1648-1684 (+1)	=> 106295-106331 (+1)
LSU_rRNA_archaea 1687-1698 (+1)	=> 106332-106343 (+1)
LSU_rRNA_archaea 1701-1736 (+1)	=> 106344-106379 (+1)
LSU_rRNA_archaea 1737-1758 (+1)	=> 106381-106402 (+1)
LSU_rRNA_archaea 1759-1762 (+1)	=> 106404-106407 (+1)
LSU_rRNA_archaea 1763-1824 (+1)	=> 106409-106470 (+1)
LSU_rRNA_archaea 1825-1829 (+1)	=> 106475-106479 (+1)
LSU_rRNA_archaea 1830-1941 (+1)	=> 106482-106593 (+1)
LSU_rRNA_archaea 1956-2273 (+1)	=> 106627-106944 (+1)
LSU_rRNA_archaea 2275-2279 (+1)	=> 106945-106949 (+1)
LSU_rRNA_archaea 2293-2330 (+1)	=> 106950-106987 (+1)
LSU_rRNA_archaea 2331-2434 (+1)	=> 106989-107092 (+1)
LSU_rRNA_archaea 2435-2489 (+1)	=> 107096-107150 (+1)
LSU_rRNA_archaea 2490-2499 (+1)	=> 107152-107161 (+1)
LSU_rRNA_archaea 2503-2718 (+1)	=> 107162-107377 (+1)
LSU_rRNA_archaea 2719-2775 (+1)	=> 107379-107435 (+1)
LSU_rRNA_archaea 2778-2784 (+1)	=> 107436-107442 (+1)
LSU_rRNA_archaea 2786-2808 (+1)	=> 107443-107465 (+1)
LSU_rRNA_archaea 2810-2863 (+1)	=> 107466-107519 (+1)
LSU_rRNA_archaea 2962-2989 (+1)	=> 107520-107547 (+1)
LSU_rRNA_archaea 2998-3022 (+1)	=> 107548-107572 (+1)
LSU_rRNA_archaea 3023-3058 (+1)	=> 107581-107616 (+1)
LSU_rRNA_archaea 3061-3069 (+1)	=> 107617-107625 (+1)

LSU_rRNA_bacteria 1-2925 (+1)	=> 104690-107703 (+1)
Percent identity: 
Cigar string: 129M8I5M7I4MI21MD103M7I2M3I25MI26MI186MI53M3I110MI192MI85M20D200MI7MI28M2I4M3I25MD210M5I43M2I20M46I28D70M2D10MD122M5I5M4I124M4D346M3D497MD81M94I7D29M8D71M
ungapped:
LSU_rRNA_bacteria 1-129 (+1)	=> 104690-104818 (+1)
LSU_rRNA_bacteria 130-134 (+1)	=> 104827-104831 (+1)
LSU_rRNA_bacteria 135-138 (+1)	=> 104839-104842 (+1)
LSU_rRNA_bacteria 139-159 (+1)	=> 104844-104864 (+1)
LSU_rRNA_bacteria 161-263 (+1)	=> 104865-104967 (+1)
LSU_rRNA_bacteria 264-265 (+1)	=> 104975-104976 (+1)
LSU_rRNA_bacteria 266-290 (+1)	=> 104980-105004 (+1)
LSU_rRNA_bacteria 291-316 (+1)	=> 105006-105031 (+1)
LSU_rRNA_bacteria 317-502 (+1)	=> 105033-105218 (+1)
LSU_rRNA_bacteria 503-555 (+1)	=> 105220-105272 (+1)
LSU_rRNA_bacteria 556-665 (+1)	=> 105276-105385 (+1)
LSU_rRNA_bacteria 666-857 (+1)	=> 105387-105578 (+1)
LSU_rRNA_bacteria 858-942 (+1)	=> 105580-105664 (+1)
LSU_rRNA_bacteria 963-1162 (+1)	=> 105665-105864 (+1)
LSU_rRNA_bacteria 1163-1169 (+1)	=> 105866-105872 (+1)
LSU_rRNA_bacteria 1170-1197 (+1)	=> 105874-105901 (+1)
LSU_rRNA_bacteria 1198-1201 (+1)	=> 105904-105907 (+1)
LSU_rRNA_bacteria 1202-1226 (+1)	=> 105911-105935 (+1)
LSU_rRNA_bacteria 1228-1437 (+1)	=> 105936-106145 (+1)
LSU_rRNA_bacteria 1438-1480 (+1)	=> 106151-106193 (+1)
LSU_rRNA_bacteria 1481-1500 (+1)	=> 106196-106215 (+1)
LSU_rRNA_bacteria 1529-1598 (+1)	=> 106262-106331 (+1)
LSU_rRNA_bacteria 1601-1610 (+1)	=> 106332-106341 (+1)
LSU_rRNA_bacteria 1612-1733 (+1)	=> 106342-106463 (+1)
LSU_rRNA_bacteria 1734-1738 (+1)	=> 106469-106473 (+1)
LSU_rRNA_bacteria 1739-1862 (+1)	=> 106478-106601 (+1)
LSU_rRNA_bacteria 1867-2212 (+1)	=> 106602-106947 (+1)
LSU_rRNA_bacteria 2216-2712 (+1)	=> 106948-107444 (+1)
LSU_rRNA_bacteria 2714-2794 (+1)	=> 107445-107525 (+1)
LSU_rRNA_bacteria 2802-2830 (+1)	=> 107620-107648 (+1)
LSU_rRNA_bacteria 2839-2909 (+1)	=> 107649-107719 (+1)

5_8S_rRNA 1-154 (+1)	=> 104703-104856 (+1)
Percent identity: 
Cigar string: 7MI17MD39MD41M13I9D17I22D18M
ungapped:
5_8S_rRNA 1-7 (+1)	=> 104703-104709 (+1)
5_8S_rRNA 8-24 (+1)	=> 104711-104727 (+1)
5_8S_rRNA 26-64 (+1)	=> 104728-104766 (+1)
5_8S_rRNA 66-106 (+1)	=> 104767-104807 (+1)
5_8S_rRNA 138-155 (+1)	=> 104838-104855 (+1)

LSU_rRNA_eukarya 1-3401 (+1)	=> 104835-107721 (+1)
Percent identity: 
Cigar string: 118M12I4M9I22M7D9M5I11MI37M4I44M3D16MD7M2I107M42I238D6M2I50M3I21M13I67D91MI102M5I20MI11M23I25D35M6I14M8I26MD36MD29M7I117MI22M4I11M3I5M4I20MD13MI83MI45MD25M21I6M5I49M30D23M92I128D15M2I141M5I152D66MI35MI11M33I12D132MD116M25D27MI20M15I64D39MI101MI36MI37M2D193MD62MI7MD12M2D15MI7M2D42M2D17M92I125D30M3D14M48I36D8MD4MD16M
ungapped:
LSU_rRNA_eukarya 1-118 (+1)	=> 104835-104952 (+1)
LSU_rRNA_eukarya 119-122 (+1)	=> 104965-104968 (+1)
LSU_rRNA_eukarya 123-144 (+1)	=> 104978-104999 (+1)
LSU_rRNA_eukarya 152-160 (+1)	=> 105000-105008 (+1)
LSU_rRNA_eukarya 161-171 (+1)	=> 105014-105024 (+1)
LSU_rRNA_eukarya 172-208 (+1)	=> 105026-105062 (+1)
